match_id,type,a_id,a_prod,a_team,a_cap,b_id,b_prod,b_team,b_cap,score,signals
e66b4fcd93de,conflict,D-1002,DriverApp,Payments & Earnings,experiments_flags,D-1016,DriverApp,Incentives,experiments_flags,,"surface, entity, contract"
0daaf12c81bd,synergy,D-1002,DriverApp,Payments & Earnings,experiments_flags,D-1017,DriverApp,Driver Core,experiments_flags,64.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
d23b54ac8a7c,conflict,D-1002,DriverApp,Payments & Earnings,experiments_flags,D-1017,DriverApp,Driver Core,experiments_flags,,"surface, entity, contract"
68486ff4c2b2,conflict,D-1003,DriverApp,Quality & Safety,earnings_insights,D-1009,DriverApp,Payments & Earnings,incentives,,"surface, entity"
d72d9356e1a9,conflict,D-1003,DriverApp,Quality & Safety,earnings_insights,D-1018,DriverApp,Driver Core,incentives,,"surface, entity"
484e9a0d5742,conflict,D-1006,DriverApp,Supply Growth,safety_fatigue,M-1041,Maps,Map UX,speed_limits,,"surface, surface_contention"
69d40781fabd,synergy,D-1006,DriverApp,Supply Growth,safety_fatigue,A-1056,Alice,Yandex Alice,voice_safety_alerts,67.0,"capability_complement, contract, kpi_family, goal_overlap"
ff8c027da2f7,conflict,D-1006,DriverApp,Supply Growth,safety_fatigue,A-1059,Alice,Yandex Alice,voice_safety_alerts,,"entity, contract"
a99386852cd5,synergy,D-1006,DriverApp,Supply Growth,safety_fatigue,A-1060,Alice,Yandex Alice,voice_safety_alerts,67.0,"capability_complement, entity, contract, kpi_family, goal_overlap"
7cbb300cbcf9,conflict,D-1008,DriverApp,Driver Core,dispatch_fairness,D-1015,DriverApp,Supply Growth,dispatch_fairness,,"surface, entity, contract, surface_contention"
139e03901428,conflict,D-1009,DriverApp,Payments & Earnings,incentives,D-1018,DriverApp,Driver Core,incentives,,"surface, entity, contract"
28c116c78b70,duplicate,D-1010,DriverApp,Driver Core,incentives,D-1018,DriverApp,Driver Core,incentives,100.0,"capability_same, contract, kpi_family, goal_overlap"
b2587352e293,conflict,D-1010,DriverApp,Driver Core,incentives,D-1019,DriverApp,Payments & Earnings,incentives,,"surface, contract, surface_contention"
7b48ef756a10,conflict,D-1010,DriverApp,Driver Core,incentives,P-1039,PassengerApp,Checkout & Payments,promos_loyalty,,"entity, contract"
2d4e0ded6b5b,duplicate,D-1013,DriverApp,Payments & Earnings,experiments_flags,D-1014,DriverApp,Payments & Earnings,experiments_flags,67.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
0236ad37247d,conflict,D-1013,DriverApp,Payments & Earnings,experiments_flags,D-1014,DriverApp,Payments & Earnings,experiments_flags,,"surface, entity, contract"
9043e6021a91,conflict,D-1016,DriverApp,Incentives,experiments_flags,D-1017,DriverApp,Driver Core,experiments_flags,,"surface, entity, contract"
75da06d996bc,conflict,P-1020,PassengerApp,Checkout & Payments,search_destination,P-1025,PassengerApp,Search & Discovery,search_destination,,"entity, contract"
3ec9426800b3,conflict,P-1020,PassengerApp,Checkout & Payments,search_destination,M-1042,Maps,Routing,poi_quality,,"surface, surface_contention"
44661096cb24,conflict,P-1020,PassengerApp,Checkout & Payments,search_destination,M-1047,Maps,Pickup Zones,poi_quality,,"surface, entity, surface_contention"
8358ba38bf72,conflict,P-1021,PassengerApp,Safety & Support,pickup_experience,M-1044,Maps,POI & Places,traffic_prediction,,"surface, surface_contention"
a35e2488d89e,duplicate,P-1022,PassengerApp,Loyalty,ratings_feedback,P-1035,PassengerApp,Checkout & Payments,ratings_feedback,56.0,"capability_same, surface, kpi_family, goal_overlap"
3387bc9b88a8,duplicate,P-1024,PassengerApp,Checkout & Payments,in_trip_assistance,P-1026,PassengerApp,Loyalty,in_trip_assistance,60.0,"capability_same, surface, contract, kpi_family, goal_overlap"
a8ab3a4490df,conflict,P-1024,PassengerApp,Checkout & Payments,in_trip_assistance,P-1026,PassengerApp,Loyalty,in_trip_assistance,,"surface, contract"
fe20943eac6f,conflict,P-1025,PassengerApp,Search & Discovery,search_destination,M-1050,Maps,Traffic & ETA,pickup_zones,,"surface, surface_contention"
8506e0255e9b,conflict,P-1027,PassengerApp,Safety & Support,user_onboarding,P-1036,PassengerApp,Search & Discovery,user_onboarding,,"surface, entity"
8716c746180a,conflict,P-1028,PassengerApp,Checkout & Payments,promos_loyalty,P-1032,PassengerApp,Rider Growth,payments_checkout,,"surface, surface_contention"
371f4a947f5e,duplicate,P-1028,PassengerApp,Checkout & Payments,promos_loyalty,P-1034,PassengerApp,Checkout & Payments,promos_loyalty,67.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
2fb6bfac50cd,conflict,P-1028,PassengerApp,Checkout & Payments,promos_loyalty,P-1034,PassengerApp,Checkout & Payments,promos_loyalty,,"surface, entity, contract, surface_contention"
69f56f810338,synergy,P-1028,PassengerApp,Checkout & Payments,promos_loyalty,P-1037,PassengerApp,Safety & Support,promos_loyalty,64.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
efc13d5c5cea,conflict,P-1028,PassengerApp,Checkout & Payments,promos_loyalty,P-1037,PassengerApp,Safety & Support,promos_loyalty,,"surface, entity, contract, surface_contention"
c3054d5aac89,synergy,P-1029,PassengerApp,Rider Growth,search_destination,P-1033,PassengerApp,Search & Discovery,search_destination,53.0,"capability_same, surface, contract, kpi_family, goal_overlap"
b650d8b3e37d,conflict,P-1029,PassengerApp,Rider Growth,search_destination,M-1046,Maps,Traffic & ETA,pickup_zones,,"surface, surface_contention"
1bb2b6b910ff,conflict,P-1030,PassengerApp,Rider Growth,pickup_experience,P-1033,PassengerApp,Search & Discovery,search_destination,,"surface, surface_contention"
8ff7cc2a4465,conflict,P-1030,PassengerApp,Rider Growth,pickup_experience,M-1046,Maps,Traffic & ETA,pickup_zones,,"surface, contract, surface_contention"
6683e2b6be57,conflict,P-1030,PassengerApp,Rider Growth,pickup_experience,M-1055,Maps,POI & Places,poi_quality,,"surface, surface_contention"
b8eee5cc7533,conflict,P-1032,PassengerApp,Rider Growth,payments_checkout,P-1034,PassengerApp,Checkout & Payments,promos_loyalty,,"surface, surface_contention"
990c7223b2b4,conflict,P-1032,PassengerApp,Rider Growth,payments_checkout,P-1037,PassengerApp,Safety & Support,promos_loyalty,,"surface, surface_contention"
a31b9f6689c6,conflict,P-1033,PassengerApp,Search & Discovery,search_destination,M-1048,Maps,Pickup Zones,traffic_prediction,,"surface, surface_contention"
5e3869e22c75,conflict,P-1033,PassengerApp,Search & Discovery,search_destination,M-1049,Maps,Pickup Zones,entrance_points,,"surface, surface_contention"
bbbc691515d1,synergy,P-1033,PassengerApp,Search & Discovery,search_destination,M-1055,Maps,POI & Places,poi_quality,55.0,"capability_complement, surface, goal_overlap"
f145f7921b57,conflict,P-1033,PassengerApp,Search & Discovery,search_destination,M-1055,Maps,POI & Places,poi_quality,,"surface, surface_contention"
3378b5ba0ffe,conflict,P-1034,PassengerApp,Checkout & Payments,promos_loyalty,P-1037,PassengerApp,Safety & Support,promos_loyalty,,"surface, entity, contract, surface_contention"
3543560dbb0b,duplicate,P-1037,PassengerApp,Safety & Support,promos_loyalty,P-1039,PassengerApp,Checkout & Payments,promos_loyalty,67.0,"capability_same, entity, contract, kpi_family, goal_overlap"
c34c7c414ead,duplicate,M-1040,Maps,Traffic & ETA,traffic_prediction,M-1044,Maps,POI & Places,traffic_prediction,67.0,"capability_same, entity, contract, kpi_family, goal_overlap"
2b9ed7c30734,duplicate,M-1040,Maps,Traffic & ETA,traffic_prediction,M-1048,Maps,Pickup Zones,traffic_prediction,57.0,"capability_same, entity, contract, kpi_family, goal_overlap"
05d70e869a79,conflict,M-1040,Maps,Traffic & ETA,traffic_prediction,M-1048,Maps,Pickup Zones,traffic_prediction,,"entity, contract"
ba9c72cd83cb,synergy,M-1040,Maps,Traffic & ETA,traffic_prediction,M-1052,Maps,Routing,traffic_prediction,64.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
f6b8132c9a8f,conflict,M-1040,Maps,Traffic & ETA,traffic_prediction,M-1052,Maps,Routing,traffic_prediction,,"surface, entity, contract, surface_contention"
59e52b4d38c6,synergy,M-1042,Maps,Routing,poi_quality,M-1047,Maps,Pickup Zones,poi_quality,58.0,"capability_same, surface, contract, kpi_family, goal_overlap"
cedf05f98f56,conflict,M-1042,Maps,Routing,poi_quality,M-1047,Maps,Pickup Zones,poi_quality,,"surface, contract, surface_contention"
ca7cfb56ee33,synergy,M-1043,Maps,Traffic & ETA,entrance_points,M-1045,Maps,Traffic & ETA,entrance_points,64.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
5ee1bcc01135,conflict,M-1043,Maps,Traffic & ETA,entrance_points,M-1045,Maps,Traffic & ETA,entrance_points,,"surface, entity, contract, surface_contention"
ce294a889ad4,duplicate,M-1043,Maps,Traffic & ETA,entrance_points,M-1049,Maps,Pickup Zones,entrance_points,100.0,"capability_same, entity, contract, kpi_family, goal_overlap"
01ab189ac19e,synergy,M-1044,Maps,POI & Places,traffic_prediction,M-1048,Maps,Pickup Zones,traffic_prediction,64.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
12e64af31127,synergy,M-1045,Maps,Traffic & ETA,entrance_points,M-1049,Maps,Pickup Zones,entrance_points,53.0,"capability_same, entity, contract, kpi_family, goal_overlap"
cdba628af433,duplicate,M-1047,Maps,Pickup Zones,poi_quality,M-1055,Maps,POI & Places,poi_quality,56.0,"capability_same, entity, contract, kpi_family, goal_overlap"
8bfb980d7243,conflict,M-1048,Maps,Pickup Zones,traffic_prediction,M-1049,Maps,Pickup Zones,entrance_points,,"surface, surface_contention"
e5d043e3f880,synergy,M-1048,Maps,Pickup Zones,traffic_prediction,M-1052,Maps,Routing,traffic_prediction,53.0,"capability_same, entity, contract, kpi_family, goal_overlap"
18189eb01be3,conflict,M-1048,Maps,Pickup Zones,traffic_prediction,M-1052,Maps,Routing,traffic_prediction,,"entity, contract"
ff95b2b17f0a,conflict,M-1048,Maps,Pickup Zones,traffic_prediction,M-1055,Maps,POI & Places,poi_quality,,"surface, surface_contention"
22f1e55bbec5,conflict,M-1049,Maps,Pickup Zones,entrance_points,M-1055,Maps,POI & Places,poi_quality,,"surface, entity, contract, surface_contention"
04bbed0a8b54,synergy,M-1051,Maps,Routing,routing_multiobjective,M-1054,Maps,Map UX,routing_multiobjective,50.0,"capability_same, contract, kpi_family, goal_overlap"
633631d3a7f1,conflict,M-1053,Maps,POI & Places,speed_limits,M-1054,Maps,Map UX,routing_multiobjective,,"surface, surface_contention"
663fce259f6b,duplicate,A-1056,Alice,Yandex Alice,voice_safety_alerts,A-1060,Alice,Yandex Alice,voice_safety_alerts,100.0,"capability_same, contract, kpi_family, goal_overlap"
4394ae8ff0bc,conflict,A-1057,Alice,Yandex Alice,in_car_mode,A-1059,Alice,Yandex Alice,voice_safety_alerts,,"surface, surface_contention"
efc6a595ef84,conflict,A-1057,Alice,Yandex Alice,in_car_mode,A-1063,Alice,Yandex Alice,voice_safety_alerts,,"surface, surface_contention"
5cefff06f513,conflict,A-1057,Alice,Yandex Alice,in_car_mode,A-1065,Alice,Yandex Alice,voice_hints,,"surface, surface_contention"
c710c1939577,synergy,A-1057,Alice,Yandex Alice,in_car_mode,A-1069,Alice,Yandex Alice,in_car_mode,62.0,"capability_same, surface, entity, kpi_family, goal_overlap"
d4184a62fcf5,conflict,A-1058,Alice,Yandex Alice,latency_voice,A-1059,Alice,Yandex Alice,voice_safety_alerts,,"surface, surface_contention"
7612a843f020,conflict,A-1058,Alice,Yandex Alice,latency_voice,A-1060,Alice,Yandex Alice,voice_safety_alerts,,"surface, surface_contention"
0bac48234c6c,synergy,A-1058,Alice,Yandex Alice,latency_voice,A-1065,Alice,Yandex Alice,voice_hints,70.0,"capability_complement, surface, contract, goal_overlap"
087f99123927,duplicate,A-1058,Alice,Yandex Alice,latency_voice,A-1068,Alice,Yandex Alice,latency_voice,100.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
00916e4f919b,conflict,A-1058,Alice,Yandex Alice,latency_voice,A-1069,Alice,Yandex Alice,in_car_mode,,"surface, entity, kpi_tension, surface_contention"
eb1756720b74,conflict,A-1058,Alice,Yandex Alice,latency_voice,A-1071,Alice,Yandex Alice,retention_mechanics,,"surface, surface_contention"
b51922b12593,conflict,A-1059,Alice,Yandex Alice,voice_safety_alerts,A-1060,Alice,Yandex Alice,voice_safety_alerts,,"surface, entity, contract, surface_contention"
b74d4c83d9ad,duplicate,A-1059,Alice,Yandex Alice,voice_safety_alerts,A-1063,Alice,Yandex Alice,voice_safety_alerts,60.0,"capability_same, surface, contract, kpi_family, goal_overlap"
a7c6b0197fd7,conflict,A-1059,Alice,Yandex Alice,voice_safety_alerts,A-1063,Alice,Yandex Alice,voice_safety_alerts,,"surface, contract, surface_contention"
812d1fede3ca,conflict,A-1059,Alice,Yandex Alice,voice_safety_alerts,A-1065,Alice,Yandex Alice,voice_hints,,"surface, kpi_tension, surface_contention"
4ee7fa37401c,duplicate,A-1059,Alice,Yandex Alice,voice_safety_alerts,A-1067,Alice,Yandex Alice,voice_safety_alerts,100.0,"capability_same, surface, entity, contract, kpi_family, goal_overlap"
c3a3e50bca4f,conflict,A-1059,Alice,Yandex Alice,voice_safety_alerts,A-1068,Alice,Yandex Alice,latency_voice,,"surface, surface_contention"
881fffaaa342,conflict,A-1060,Alice,Yandex Alice,voice_safety_alerts,A-1068,Alice,Yandex Alice,latency_voice,,"surface, surface_contention"
b34ed627cc53,conflict,A-1060,Alice,Yandex Alice,voice_safety_alerts,A-1069,Alice,Yandex Alice,in_car_mode,,"surface, surface_contention"
3ce6a4f926a3,conflict,A-1061,Alice,Yandex Alice,voice_onboarding,A-1066,Alice,Yandex Alice,asr_nlu_quality,,"surface, surface_contention"
95684d477008,conflict,A-1061,Alice,Yandex Alice,voice_onboarding,A-1067,Alice,Yandex Alice,voice_safety_alerts,,"surface, surface_contention"
6d9f893d5eb9,synergy,A-1062,Alice,Yandex Alice,asr_nlu_quality,A-1066,Alice,Yandex Alice,asr_nlu_quality,50.0,"capability_same, entity, kpi_family, goal_overlap"
da0df62721b0,conflict,A-1063,Alice,Yandex Alice,voice_safety_alerts,A-1065,Alice,Yandex Alice,voice_hints,,"surface, kpi_tension, surface_contention"
dd7581619cf3,duplicate,A-1063,Alice,Yandex Alice,voice_safety_alerts,A-1067,Alice,Yandex Alice,voice_safety_alerts,60.0,"capability_same, surface, contract, kpi_family, goal_overlap"
fbf33eb0f80e,conflict,A-1063,Alice,Yandex Alice,voice_safety_alerts,A-1068,Alice,Yandex Alice,latency_voice,,"surface, surface_contention"
16d6f4605373,synergy,A-1065,Alice,Yandex Alice,voice_hints,A-1068,Alice,Yandex Alice,latency_voice,70.0,"capability_complement, surface, contract, goal_overlap"
0e402bd1f133,conflict,A-1065,Alice,Yandex Alice,voice_hints,A-1068,Alice,Yandex Alice,latency_voice,,"surface, contract, kpi_tension, surface_contention"
823be5268be1,conflict,A-1066,Alice,Yandex Alice,asr_nlu_quality,A-1067,Alice,Yandex Alice,voice_safety_alerts,,"surface, surface_contention"
b0c7d3f0fc09,conflict,A-1069,Alice,Yandex Alice,in_car_mode,A-1071,Alice,Yandex Alice,retention_mechanics,,"surface, surface_contention"
